Created 2018/1/22 08:46 by Windographer 4.0.19

Latitude = N 0.000000
Longitude = E 0.000000
Elevation = 0 m
Calm threshold = 0 m/s

Included flags: <Unflagged data>
Excluded flags: 

Time stamps indicate the beginning of the time step.

Date/Time	Speed 85 m [m/s]	Speed 85 m SD [m/s]	Speed 85 m Max [m/s]	Speed 85 m Min [m/s]	Speed 75 m [m/s]	Speed 75 m SD [m/s]	Speed 75 m Max [m/s]	Speed 75 m Min [m/s]	Speed 50 m [m/s]	Speed 50 m SD [m/s]	Speed 50 m Max [m/s]	Speed 50 m Min [m/s]	Direction 85 m [°] [°] [°]	Direction 85 m SD [°] [°] [°]	Direction 85 m Max [°] [°] [°]	Direction 85 m Min [°] [°] [°]	Direction 10 m [°] [°] [°]	Direction 10 m SD [°] [°] [°]	Direction 10 m Max [°] [°] [°]	Direction 10 m Min [°] [°] [°]	Temperature 10 m [°C]	Temperature 10 m SD [°C]	Temperature 10 m Max [°C]	Temperature 10 m Min [°C]	Pressure 7 m [kPa]	Pressure 7 m SD [kPa]	Pressure 7 m Max [kPa]	Pressure 7 m Min [kPa]	iPack Voltmtr V 7 m [°C]	iPack Voltmtr V 7 m SD [°C]	iPack Voltmtr V 7 m Max [°C]	iPack Voltmtr V 7 m Min [°C]	Speed 30 m [m/s]	Speed 30 m SD [m/s]	Speed 30 m Max [m/s]	Speed 30 m Min [m/s]	Speed 10 m [m/s]	Speed 10 m SD [m/s]	Speed 10 m Max [m/s]	Speed 10 m Min [m/s]	Custom [unit]	Custom SD [unit]	Custom Max [unit]	Custom Min [unit]	
2017-05-01 13:00	4.783	1.320	10.000	0.300	4.850	1.361	10.900	0.300	4.817	1.462	10.900	0.300					222.0	25.3	0.0	0.0	19.0	0.4	20.1	17.6	84.1	0.0	84.1	84.0	14.000	0.0000	14.100	14.000	4.933	1.473	11.900	0.300	4.783	1.492	12.400	0.300	0.0000	0.0000	0.0000	0.0000
2017-05-01 14:00	7.183	0.926	11.900	4.100	7.217	0.949	11.900	4.100	7.083	0.980	10.900	3.300					251.1	13.1	0.0	0.0	17.0	0.1	17.9	16.5	84.0	0.0	84.1	83.9	14.033	0.0000	14.100	14.000	7.350	1.065	11.900	4.100	7.517	1.171	12.400	3.300	0.0000	0.0000	0.0000	0.0000
2017-05-01 15:00	4.433	0.870	8.500	1.100	4.417	0.870	7.800	1.100	4.300	0.925	10.000	0.300					251.9	23.5	0.0	0.0	17.2	0.2	18.1	16.7	83.9	0.0	84.0	83.8	14.100	0.0000	14.100	14.100	4.483	0.960	9.200	0.300	4.467	0.994	9.200	0.300	0.0000	0.0000	0.0000	0.0000
2017-05-01 16:00	2.000	0.832	5.600	0.300	1.983	0.832	5.600	0.300	1.667	0.856	5.600	0.300					131.7	35.1	0.0	0.0	19.1	0.2	20.4	18.1	83.9	0.0	83.9	83.9	14.100	0.0000	14.100	14.100	1.733	0.801	4.800	0.300	1.817	0.818	4.800	0.300	0.0000	0.0000	0.0000	0.0000
2017-05-01 17:00	6.183	1.050	11.900	1.100	6.083	1.088	11.900	0.300	5.750	1.214	11.800	0.300					111.0	27.5	0.0	0.0	18.8	0.2	20.7	17.0	83.9	0.0	83.9	83.8	14.017	0.0000	14.100	14.100	5.633	1.390	12.400	0.300	4.567	1.543	12.400	0.300	0.0000	0.0000	0.0000	0.0000
2017-05-01 18:00	6.483	1.266	10.000	0.300	6.550	1.265	10.900	0.300	5.917	1.248	9.200	0.300					168.1	45.9	0.0	0.0	16.4	0.2	17.9	15.3	83.8	0.0	83.8	83.8	14.050	0.0000	14.100	13.900	5.633	1.398	10.000	0.300	4.650	1.861	10.900	0.300	0.0000	0.0000	0.0000	0.0000
2017-05-01 19:00	7.033	1.190	10.900	2.500	6.900	1.290	12.900	2.500	5.817	1.487	10.000	1.100					176.6	37.6	0.0	0.0	14.8	0.1	15.3	14.2	83.8	0.0	83.8	83.8	13.783	0.0000	13.900	13.700	5.200	1.429	10.900	0.300	4.333	1.576	10.000	0.300	0.0000	0.0000	0.0000	0.0000
2017-05-01 20:00	7.767	1.411	12.900	4.100	7.700	1.480	12.900	3.300	6.883	1.633	12.900	1.800					177.1	25.8	0.0	0.0	14.0	0.1	14.5	13.7	83.8	0.0	83.9	83.8	13.600	0.0000	13.700	13.500	6.567	1.695	12.400	1.100	5.950	1.872	14.100	0.300	0.0000	0.0000	0.0000	0.0000
2017-05-01 21:00	9.083	1.024	14.600	3.300	9.150	1.108	14.600	3.300	8.800	1.294	14.600	2.600					177.9	17.2	0.0	0.0	13.2	0.1	14.0	12.6	83.9	0.0	83.9	83.8	13.500	0.0000	13.500	13.400	8.567	1.446	17.400	1.800	8.000	1.682	14.700	1.100	0.0000	0.0000	0.0000	0.0000
2017-05-01 22:00	6.817	0.767	10.900	2.500	6.817	0.783	11.900	1.800	6.433	0.816	10.900	1.800					175.6	18.9	0.0	0.0	12.3	0.1	12.9	12.1	83.9	0.0	84.0	83.9	13.400	0.0000	13.400	13.400	6.083	0.828	10.900	1.800	5.217	1.070	10.900	0.300	0.0000	0.0000	0.0000	0.0000
